"Title: Population Distribution by Citizenship Status | KFF"
"Timeframe: 2023"
"Location","US-born Citizens","Naturalized Citizens","Noncitizen Residents for Less than 5 Years","Noncitizen Residents for 5 Years","Total",Footnotes
"United States","278950200","24732100","7197800","15198500","326078600","1"
"Alabama","4746800","81200","47900","69300","4945200"
"Alaska","648500","33000","7900","11100","700500"
"Arizona","6279800","476900","141000","355100","7252900"
"Arkansas","2815100","58500","20700","79300","2973600"
"California","27617300","5781500","1083000","3656400","38138100"
"Colorado","5171500","263200","73400","216500","5724600"
"Connecticut","2937900","318000","90600","168200","3514700"
"Delaware","886400","58400","21000","37100","1002900"
"District of Columbia","555300","46000","19000","25700","646000"
"Florida","17144500","2802800","925700","1203000","22076000"
"Georgia","9458000","615200","202000","444900","10720100"
"Hawaii","1113600","162300","21800","68700","1366300"
"Idaho","1799100","55500","18800","36600","1910000"
"Illinois","10392500","984300","263000","613000","12252700"
"Indiana","6246500","173800","94900","148400","6663600"
"Iowa","2924400","79800","42500","59400","3106200"
"Kansas","2630900","88600","30900","85400","2835800"
"Kentucky","4196500","89800","48000","59200","4393500"
"Louisiana","4217100","89300","54500","69800","4430700"
"Maine","1300600","27300","13100","14600","1355600"
"Maryland","4976800","573900","149400","314500","6014600"
"Massachusetts","5534700","669700","232300","338800","6775600"
"Michigan","9091500","421500","123000","185700","9821800"
"Minnesota","5139100","281300","63300","131100","5614900"
"Mississippi","2765800","24100","14400","29200","2833500"
"Missouri","5724000","144400","60600","87000","6016000"
"Montana","1081200","15100","2800","6500","1105600"
"Nebraska","1774800","62400","30700","56500","1924500"
"Nevada","2530000","327300","77400","204900","3139600"
"New Hampshire","1266100","55900","13900","25500","1361400"
"New Jersey","6896600","1243900","359800","623900","9124100"
"New Mexico","1850900","95300","27500","88700","2062400"
"New York","14590200","2671400","550300","1236500","19048400"
"North Carolina","9497700","432100","194900","358800","10483400"
"North Dakota","718400","13300","7100","5700","744500"
"Ohio","10877000","306900","138600","142200","11464600"
"Oklahoma","3678400","100200","37800","101300","3917700"
"Oregon","3756800","201700","57100","140800","4156400"
"Pennsylvania","11525800","549200","200100","252800","12527800"
"Rhode Island","895800","85200","23100","48300","1052400"
"South Carolina","4896900","133400","61400","113300","5205000"
"South Dakota","847100","23200","6400","12400","889100"
"Tennessee","6528100","164400","96200","163300","6951900"
"Texas","24418500","2295300","943800","2137900","29795500"
"Utah","3057700","131500","62000","106500","3357600"
"Vermont","595400","19800","N/A","5600","623400"
"Virginia","7241400","643900","171600","316100","8373000"
"Washington","6420400","596100","207400","403600","7627500"
"West Virginia","1682500","17100","4000","10000","1713600"
"Wisconsin","5460900","138100","54800","121700","5775600"
"Wyoming","547400","9200","3900","7500","568000"
"Puerto Rico","3093000","43800","13000","27200","3176900"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
" "
"Population and demographic data are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports information.   "
""
"Population numbers are rounded to the nearest 100."
""
"Noncitizen residents include immigrants who are lawfully present in the US and those who are undocumented."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
